# subscribed links TSV file

type	HousingKeywords	name	category	cities	isrent	issell	rentline	sellline
type	HousingCity	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingDistrict	city	name	hotrent1	hotrent2	hotrent3	hotsell1	hotsell2	hotsell3	rentnum	tenantnum	sellnum
type	HousingNeighborhood	city	district	name	relatedrent1	relatedrent2	relatedrent3	relatedsell1	relatedsell2	relatedsell3	rentnum	tenantnum	sellnum

type	HousingHotCities	city1	city2	city3	city4	city5	city6	city7	city8	city9	city10	city11	city12	city13	city14

data	HousingHotCities	HHC001	北京	上海	广州	深圳	南京	重庆	天津	沈阳	成都	哈尔滨	苏州	杭州	武汉	青岛

data	HousingKeywords	HK000	房屋信息	出租	HHC001	HK000	HK000	HK000	HK000	房屋	房屋信息	房子	房子信息	看房	住房	找房子
data	HousingKeywords	HK001	租房	出租	HHC001	HK001		HK001		租房	求租	出租	出租房	租赁	租房信息	租屋	短租房	短期租房	房屋出租	出租房屋	房屋租赁	租房网	租房信息网	房屋求租	求租房屋	日租房	出租房源
data	HousingKeywords	HK002	找合租	合租	HHC001			HK002		合租	合租房	找合租	合租房源
data	HousingKeywords	HK003	二手房	出售	HHC001				HK003	二手房	卖房	卖屋	售房	售屋	二手房信息	2手房	2手房信息	找二手房	二手房网	二手房信息网	出售房源	二手房源	二手房房源
data	HousingNeighborhood	HN06298	深圳	福田区	水榭花都	HN06673	HN06481	HN06480	HN06673	HN06481	HN06480	257	0	760	深圳水榭花都	深圳福田区水榭花都	深圳福田水榭花都	深圳市水榭花都	深圳市福田区水榭花都	深圳市福田水榭花都	水榭花都	福田区水榭花都	福田水榭花都
data	HousingNeighborhood	HN05292	杭州	上城区	紫金观巷	HN05320	HN05289		HN05289	HN05320		12	0	90	杭州紫金观巷	杭州上城区紫金观巷	杭州上城紫金观巷	杭州市紫金观巷	杭州市上城区紫金观巷	杭州市上城紫金观巷	紫金观巷	上城区紫金观巷	上城紫金观巷
data	HousingNeighborhood	HN01365	上海	黄浦区	金外滩花园	HN00877	HN01389	HN00064	HN00877	HN01389	HN00064	306	37	1261	上海金外滩花园	上海黄浦金外滩花园	上海黄浦区金外滩花园	上海市金外滩花园	上海市黄浦金外滩花园	上海市黄浦区金外滩花园	金外滩花园	黄浦金外滩花园	黄浦区金外滩花园
data	HousingNeighborhood	HN04283	天津	和平区	实验小学	HN04376	HN04415	HN04412	HN04376	HN04415	HN04412	561	7	1781	天津实验小学	天津和平实验小学	天津和平区实验小学	天津市实验小学	天津市和平实验小学	天津市和平区实验小学	和平实验小学	和平区实验小学
data	HousingNeighborhood	HN03258	北京	海淀区	航南大厦	HN03421	HN03379		HN03379	HN03421		15	40	0	北京航南大厦	北京海淀航南大厦	北京海淀区航南大厦	北京市航南大厦	北京市海淀航南大厦	北京市海淀区航南大厦	航南大厦	海淀航南大厦	海淀区航南大厦
data	HousingNeighborhood	HN03291	北京	海淀区	都市网景	HN03335	HN03338	HN03421	HN03335	HN03379	HN03421	177	177	286	北京都市网景	北京海淀都市网景	北京海淀区都市网景	北京市都市网景	北京市海淀都市网景	北京市海淀区都市网景	都市网景	海淀都市网景	海淀区都市网景
data	HousingNeighborhood	HN02193	北京	昌平区	东小口	HN02793	HN02471	HN02360	HN02793	HN02471	HN02360	1014	242	2835	北京东小口	北京昌平区东小口	北京昌平东小口	北京市东小口	北京市昌平区东小口	北京市昌平东小口	东小口	昌平区东小口	昌平东小口
data	HousingNeighborhood	HN03971	南昌		南京东路							360	52	3628	南昌南京东路	南昌市南京东路	南京东路
data	HousingNeighborhood	HN04063	合肥		青阳路	HN04062	HN04048	HN04032	HN04062	HN04048	HN04032	277	95	4693	合肥青阳路	合肥市青阳路	青阳路
data	HousingNeighborhood	HN03353	北京	海淀区	北太平庄路	HN02202			HN02202			51	13	81	北京北太平庄路	北京海淀北太平庄路	北京海淀区北太平庄路	北京市北太平庄路	北京市海淀北太平庄路	北京市海淀区北太平庄路	北太平庄路	海淀北太平庄路	海淀区北太平庄路
data	HousingNeighborhood	HN03734	北京	通州区	张家湾	HN02842	HN02838	HN03735	HN02842	HN02838	HN03735	68	12	150	北京张家湾	北京通州张家湾	北京通州区张家湾	北京市张家湾	北京市通州张家湾	北京市通州区张家湾	张家湾	通州张家湾	通州区张家湾
data	HousingNeighborhood	HN06859	石家庄		建国路	HN06871	HN06850		HN06871	HN06850		421	17	1559	石家庄建国路	石家庄市建国路
